Timestamp,Thread,LockType,Method,Action,Value
2025-05-06T01:21:55.802319Z,Writer-2,WRITE,remove,trying,39
2025-05-06T01:21:55.802670Z,Writer-2,WRITE,remove,acquired,39
2025-05-06T01:21:55.802910Z,Writer-2,WRITE,remove,released,39
2025-05-06T01:21:55.824717Z,Reader-1,READ,contains,trying,36
2025-05-06T01:21:55.825069Z,Reader-1,READ,contains,acquired,36
2025-05-06T01:21:55.825235Z,Reader-1,READ,contains,released,36
2025-05-06T01:21:55.833205Z,Writer-1,WRITE,add,trying,16
2025-05-06T01:21:55.833621Z,Writer-1,WRITE,add,acquired,16
2025-05-06T01:21:55.833789Z,Writer-1,WRITE,add,released,16
2025-05-06T01:21:55.870722Z,Reader-2,READ,checkRep,trying,-
2025-05-06T01:21:55.871351Z,Reader-2,READ,checkRep,acquired,-
2025-05-06T01:21:55.871959Z,Reader-2,READ,checkRep,released,-
2025-05-06T01:21:55.902053Z,Writer-1,WRITE,add,trying,35
2025-05-06T01:21:55.902266Z,Writer-1,WRITE,add,acquired,35
2025-05-06T01:21:55.902398Z,Writer-1,WRITE,add,released,35
2025-05-06T01:21:55.915206Z,Writer-2,WRITE,remove,trying,22
2025-05-06T01:21:55.915486Z,Writer-2,WRITE,remove,acquired,22
2025-05-06T01:21:55.915641Z,Writer-2,WRITE,remove,released,22
2025-05-06T01:21:55.998760Z,Writer-1,WRITE,add,trying,27
2025-05-06T01:21:55.999435Z,Writer-1,WRITE,add,acquired,27
2025-05-06T01:21:55.999654Z,Writer-1,WRITE,add,released,27
2025-05-06T01:21:56.017763Z,Writer-1,WRITE,add,trying,14
2025-05-06T01:21:56.018009Z,Writer-1,WRITE,add,acquired,14
2025-05-06T01:21:56.018252Z,Writer-1,WRITE,add,released,14
2025-05-06T01:21:56.018821Z,Writer-2,WRITE,remove,trying,16
2025-05-06T01:21:56.018959Z,Writer-2,WRITE,remove,acquired,16
2025-05-06T01:21:56.019099Z,Writer-2,WRITE,remove,released,16
2025-05-06T01:21:56.105444Z,Writer-2,WRITE,remove,trying,14
2025-05-06T01:21:56.105803Z,Writer-2,WRITE,remove,acquired,14
2025-05-06T01:21:56.105951Z,Writer-2,WRITE,remove,released,14
2025-05-06T01:21:56.173221Z,Writer-2,WRITE,remove,trying,18
2025-05-06T01:21:56.173517Z,Writer-2,WRITE,remove,acquired,18
2025-05-06T01:21:56.173699Z,Writer-2,WRITE,remove,released,18
2025-05-06T01:21:56.293664Z,main,READ,printInOrder,trying,-
2025-05-06T01:21:56.293928Z,main,READ,printInOrder,acquired,-
2025-05-06T01:21:56.300160Z,main,READ,printInOrder,released,-
2025-05-06T01:21:56.300369Z,main,READ,checkRep,trying,-
2025-05-06T01:21:56.300485Z,main,READ,checkRep,acquired,-
2025-05-06T01:21:56.300595Z,main,READ,checkRep,released,-
Timestamp,Thread,LockType,Method,Action,Value
2025-05-06T16:39:44.171241200Z,main,WRITE,add,trying,10
2025-05-06T16:39:44.217806700Z,main,WRITE,add,treeLock acquired,10
2025-05-06T16:39:44.223810Z,main,WRITE,add,created root,10
2025-05-06T16:39:44.225803800Z,main,WRITE,add,treeLock released,10
2025-05-06T16:39:44.226802500Z,main,WRITE,add,trying,5
2025-05-06T16:39:44.229810400Z,main,WRITE,add,treeLock acquired,5
2025-05-06T16:39:44.231809900Z,main,WRITE,add,treeLock released,5
Timestamp,Thread,LockType,Method,Action,Value
2025-05-06T16:42:25.480521Z,main,WRITE,add,trying,10
2025-05-06T16:42:25.508518700Z,main,WRITE,add,treeLock acquired,10
2025-05-06T16:42:25.511522900Z,main,WRITE,add,created root,10
2025-05-06T16:42:25.512520300Z,main,WRITE,add,treeLock released,10
2025-05-06T16:42:25.514057400Z,main,WRITE,add,trying,5
2025-05-06T16:42:25.515067500Z,main,WRITE,add,treeLock acquired,5
2025-05-06T16:42:25.516063900Z,main,WRITE,add,treeLock released,5
2025-05-06T16:42:25.518064400Z,main,WRITE,add,trying,15
2025-05-06T16:42:25.519064100Z,main,WRITE,add,treeLock acquired,15
2025-05-06T16:42:25.520064200Z,main,WRITE,add,treeLock released,15
2025-05-06T16:42:25.521065600Z,main,WRITE,add,trying,2
2025-05-06T16:42:25.522065Z,main,WRITE,add,treeLock acquired,2
2025-05-06T16:42:25.523064400Z,main,WRITE,add,treeLock released,2
2025-05-06T16:42:25.524063400Z,main,WRITE,add,trying,7
2025-05-06T16:42:25.525064200Z,main,WRITE,add,treeLock acquired,7
